method=CN;method=CN;method=CN;method=CN;;;
t_out=3.000000;t_out=3.000000;t_out=3.000000;t_out=3.000000;dt;V_m_max_diff;Slope 2
time_step=0.100000;time_step=0.050000;time_step=0.025000;time_step=0.010000;0.2;;0.01
-40.326266;-37.418967;-35.716543;-28.360085;0.1;0.0122071943;0.0025
-40.026271;-37.352422;-35.681001;-28.33237;0.05;0.002636529;0.000625
-39.80877;-37.231033;-35.559341;-28.14976;0.025;0.0007481757;0.00015625
-39.562775;-37.046525;-35.360054;-27.832011;;;
-39.289863;-36.796783;-35.087433;-27.399131;;;
-38.988627;-36.489999;-34.746375;-26.870252;;;
-38.655824;-36.13644;-34.340892;-26.262677;;;
-38.285201;-35.735548;-33.874684;-25.591341;;;
-37.864581;-35.283378;-33.351569;-24.868717;;;
-37.380686;-34.780868;-32.775771;-24.105018;;;
-36.838598;-34.231883;-32.152037;-23.30851;;;
-36.259343;-33.638117;-31.485518;-22.485822;;;
-35.651722;-33.001784;-30.781451;-21.642222;;;
-35.010366;-32.326663;-30.044838;-20.781874;;;
-34.33043;-31.616923;-29.280259;-19.908049;;;
-33.614633;-30.876671;-28.491743;-19.02332;;;
-32.869115;-30.109796;-27.682774;-18.12974;;;
-32.098532;-29.31989;-26.85631;-17.228965;;;
-31.305656;-28.510092;-26.014849;-16.322307;;;
-30.492961;-27.683154;-25.160489;-15.410813;;;
-29.663052;-26.8414;-24.294991;-14.49533;;;
-28.818564;-25.98684;-23.419843;-13.576552;;;
-27.961149;-25.121127;-22.536324;-12.655064;;;
-27.092182;-24.245699;-21.645553;-11.73136;;;
-26.213278;-23.361824;-20.74845;-10.805877;;;
-25.325831;-22.470518;-19.845818;-9.879002;;;
-24.430431;-21.572684;-18.938339;-8.951095;;;
-23.528076;-20.669142;-18.026609;-8.022476;;;
-22.619662;-19.760578;-17.111168;-7.093438;;;
-21.705847;-18.847578;-16.192461;-6.1643;;;
-20.786841;-17.930627;-15.270937;-5.235381;;;
-19.863349;-17.01016;-14.346957;-4.307;;;
-18.935971;-16.086666;-13.420876;-3.379475;;;
-18.005244;-15.160532;-12.493049;-2.453124;;;
-17.070756;-14.232038;-11.56378;-1.528263;;;
-16.13365;-13.301587;-10.633373;-0.60521;;;
-15.194325;-12.369488;-9.702105;0.315718;;;
-14.252343;-11.435947;-8.77029;1.234203;;;
-13.308297;-10.501406;-7.838114;2.149928;;;
-12.363129;-9.566101;-6.905881;3.062575;;;
-11.416523;-8.630298;-5.973898;3.971827;;;
-10.468276;-7.694186;-5.042451;4.877364;;;
-9.519791;-6.758107;-4.111835;5.778863;;;
-8.570931;-5.822351;-3.182345;6.676001;;;
-7.621681;-4.88721;-2.254278;7.568451;;;
-6.672193;-3.952982;-1.327928;8.455884;;;
-5.723363;-3.019947;-0.403598;9.337966;;;
-4.775409;-2.088412;0.518415;10.214359;;;
-3.828053;-1.158674;1.437804;11.08472;;;
-2.881876;-0.231029;2.354272;11.948699;;;
-1.93768;0.69422;3.267503;12.80594;;;
